Row Labels,Average of NO2 Mean,Average of O3 Mean,Average of SO2 Mean,Average of CO Mean
38441,20.5446425,0.032417,2.482033,0.5132245
38442,11.9583335,0.039854,2.07604175,0.35416675
38443,20.125,0.027902667,2.8930555,0.500845667
38444,29.73333333,0.026583667,3.329861,0.723611167
38445,19.18194433,0.036222333,2.834027833,0.640277833
38446,21.579924,0.031417,3.175378667,0.460985
38447,28.810024,0.026055667,3.107384333,0.620580833
38448,35.67868367,0.022958667,3.790286667,0.9402475
38449,29.00277767,0.037444667,3.1503195,0.929860833
38450,17.68888867,0.04,2.084027833,0.511111333
38451,9.852778,0.039791333,1.425694333,0.459028
38452,15.88055533,0.027083333,1.495833333,0.522916667
38453,27.39365067,0.023514,2.663194333,0.803472333
38454,33.58075433,0.025333,2.969418333,0.933665333
38455,34.13055533,0.027847333,3.454861167,1.049305333
38456,30.73055567,0.031347,2.718055667,0.872487
38457,36.38888867,0.026208667,2.165277667,0.838888667
38458,35.79722233,0.034194667,2.2333335,1.141666667
38459,22.59305567,0.032791667,1.963194333,0.728472333
38460,16.34142533,0.036694333,2.183982667,0.521920167
38461,14.70476167,0.037569333,2.098956333,0.4489435
38462,23.576389,0.032361,2.15625,0.604861
38463,35.358333,0.026875333,2.062474,0.846528
38464,40.79027767,0.023125333,1.6166665,0.993297333
38465,20.24166667,0.027583333,1.897222167,0.6729165
38466,9.515277667,0.031305667,1.677777667,0.467361333
38467,18.97272733,0.026458,1.597222167,0.627777667
38468,24.899495,0.026916333,1.5780105,0.780618667
38469,20.29722233,0.034666667,1.743749833,0.706250167
38470,16.61111133,0.027972,1.8444445,0.481793167
38471,16.597222,0.030319333,1.634027667,0.448611
38472,23.07083333,0.030347333,1.739583333,0.679166833
38473,22.66805567,0.028777667,1.546527667,0.710416833
38474,25.48169933,0.026486333,1.776767833,0.624179
38475,24.51161633,0.030069667,1.549278667,0.5368055
38476,26.30972233,0.032555667,1.603472167,0.568055333
38477,14.998611,0.033652667,2.0126595,0.442361333
38478,12.809722,0.02875,2.412499833,0.392361
38479,19.71944433,0.026697333,2.699999833,0.517361
38480,20.5770835,0.032042,3.61875,0.845833
38481,15.16565633,0.029756333,2.866666833,0.478472333
38482,12.25253633,0.031305667,2.6127705,0.393876333
38483,25.26620367,0.027492333,2.801481667,0.6507405
38484,26.24444433,0.025736,3.279166833,0.611081
38485,31.47801933,0.031386,3.523438833,0.784541
38486,29.5291665,0.033208,3.8229165,1.0458335
38487,25.2125,0.035625,3.3291665,1
38488,19.46537133,0.039541667,2.592113667,0.607197167
38489,15.125,0.034607,2.933820333,0.434631667
38490,28.125,0.031944667,3.15625,0.669444333
38491,33.57777767,0.024888667,3.658333333,0.837499833
38492,31.90277767,0.020694333,3.790277667,0.904861333
38493,26.20972233,0.023736,3.911111167,1.105555667
38494,25.163889,0.028736,3.224305667,1.000000167
38495,24.30519467,0.024249667,3.283351167,0.839899167
38496,18.453788,0.021013667,2.598232333,0.562802167
38497,23.711111,0.017986,2.682638833,0.6354165
38498,27.551389,0.020347333,4.15,0.728079833
38499,15.64305567,0.030249667,3.033333333,0.596527833
38500,8.493055333,0.041305667,2.5881945,0.466666667
38501,6.905555667,0.037222,2.542361167,0.460416667
38502,11.20555533,0.035680333,2.706944333,0.4756945
38503,29.53140333,0.030083,3.148731833,0.69532
38504,20.59861133,0.030917,2.825000167,0.671527667
38505,17.377778,0.022930667,3.018055667,0.575000167
38506,17.675,0.024722333,2.896067833,0.5089675
38507,18.05833333,0.036555333,2.923611167,0.5194445
38508,7.772222333,0.037749667,3,0.362500167
38509,15.21287867,0.040999667,3.0287785,0.385507
38510,24.37866133,0.035944333,2.8304865,0.463496333
38511,19.1625,0.039583667,2.851388833,0.414583333
38512,17.08333333,0.032111,2.9541665,0.366576167
38513,18.848611,0.037666667,3.353472167,0.390277833
38514,11.34999967,0.035541667,3.7895835,0.324305667
38515,12.226389,0.034278,4.158333333,0.314583333
38516,20.97377933,0.036161,4.841197667,0.406038667
38517,25.24642867,0.035611,4.528174667,0.506521667
38518,21.615278,0.033027667,3.568749833,0.409027667
38519,18.360119,0.030041333,2.195941167,0.371528
38520,21.32361133,0.026541667,1.928472167,0.4145835
38521,24.51944467,0.027166333,2.654166667,0.617361167
38522,24.15972233,0.034958333,2.502777667,0.728472333
38523,28.972619,0.035805667,3.2770835,0.641666667
38524,20.178283,0.038847333,2.786319667,0.393417833
38525,14.08055567,0.040624667,2.4479165,0.340277833
38526,17.936111,0.045889,2.432638833,0.451177667
38527,16.39305567,0.035555333,2.020138833,0.3625
38528,17.08611133,0.032208,1.724305667,0.366667
38529,16.036111,0.031916333,2.1694445,0.320833667
38530,26.20493433,0.026851667,2.9309345,0.595321667
38531,21.984217,0.019958,3.249646333,0.433901667
38532,34.140278,0.025097,4.3930555,0.766666833
38533,32.16944467,0.028889,4.106952833,0.870138833
38534,27.463889,0.025125,3.211111167,0.740277667
38535,18.648611,0.029652667,2.6319445,0.448610833
38536,18.92222233,0.02825,2.9631945,0.493055333
38537,20.65,0.026749667,4.193749833,0.7229165
38538,24.35079367,0.027555667,3.8343255,0.772883333
38539,26.58194433,0.021819333,4.1958335,0.523429667
38540,21.572601,0.023277667,3.063888833,0.485290667
38541,20.96785733,0.028277667,1.5493055,0.436111
38542,19.45555567,0.037222333,1.379861,0.41875
38543,17.46111133,0.026889,2.7243055,0.480555833
38544,26.62436867,0.022861,3.211111,0.6875
38545,29.25277767,0.019611333,3.353053833,0.615881667
38546,27.03055567,0.027361,2.704861,0.518750167
38547,19.491667,0.032152667,1.5396395,0.395833333
38548,17.97361133,0.032430333,1.677399,0.443901
38549,14.883333,0.035097333,1.761111167,0.385416333
38550,10.57462133,0.047236333,1.738383833,0.3847855
38551,16.64365067,0.045194333,1.507638833,0.436805667
38552,16.86931833,0.046958333,1.4564395,0.502717167
38553,12.49545467,0.047972,1.372916667,0.409722167
38554,15.198611,0.046416333,1.359722333,0.451389
38555,11.60416667,0.027028,1.5180555,0.372853333
38556,11.075,0.036416333,1.934722333,0.379861
38557,8.770833333,0.040639,1.079166667,0.3506945
38558,11.654419,0.031542,1.320833333,0.360416667
38559,12.17916633,0.027569333,1.245833167,0.377083333
38560,13.79722233,0.044514,1.467361,0.407639
38561,15.381692,0.040097,1.531818167,0.384659167
38562,13.57045467,0.039999667,1.483080833,0.433649
38563,9.634722333,0.034764,0.995833167,0.379861167
38564,7.183333,0.034944667,1.730555667,0.350694667
38565,11.09880967,0.031333667,1.796527833,0.3625
38566,13.438889,0.033999667,1.921527833,0.3819445
38567,19.09444433,0.029347333,1.594444333,0.470138667
38568,22.01515167,0.037944333,1.339389167,0.486231833
38569,12.31944433,0.047778,1.666666667,0.327777667
38570,13.613889,0.042347333,1.660416667,0.3180555
38571,8.427778,0.049527667,1.607639,0.290972
38572,21.83308067,0.030541667,1.379861167,0.479166833
38573,16.84583333,0.026458333,1.512076167,0.434722333
38574,18.00694433,0.021791333,1.342361,0.415972167
38575,16.78333333,0.025416667,1.429908667,0.434450667
38576,15.76893933,0.029597,1.3477225,0.4012625
38577,12.12916667,0.028805333,1.440972167,0.310417
38578,13.02916667,0.026166333,1.414583333,0.334722167
38579,15.70357167,0.026292,1.274621333,0.343055333
38580,22.113889,0.026889,1.409000667,0.461805667
38581,20.10555567,0.020777667,1.502777667,0.387499833
38582,20.516727,0.021958,1.545074333,0.4427235
38583,10.61944433,0.029917,1.693055667,0.321648833
38584,16.836111,0.026889,1.535416667,0.381944667
38585,19.073611,0.030680333,1.6756945,0.480555667
38586,17.40542933,0.040305667,1.607639,0.441666833
38587,11.511111,0.033263667,1.666666667,0.253472167
38588,19.00416667,0.028166333,1.717361,0.359722167
38589,20.357307,0.030222,1.442621833,0.441062667
38590,22.565783,0.019153,1.4343435,0.486956333
38591,18.1375,0.028361,1.570833333,0.400694667
38592,19.2375,0.030805667,1.6055555,0.368750167
38593,24.56230167,0.030305333,1.531249833,0.431944667
38594,25.3625,0.022930667,1.4805555,0.4020835
38595,19.44722233,0.027166667,1.555555667,0.372916667
38596,22.67386367,0.025319333,1.4400795,0.4519325
38597,16.55972233,0.035208,1.682639,0.358816333
38598,12.723611,0.032194667,1.450000167,0.345138833
38599,15.95555533,0.036014,1.419444333,0.420138833
38600,17.39722233,0.026486,1.438888833,0.365972
38601,30.18046767,0.019402667,2.471169667,0.653140167
38602,20.563889,0.033889,1.9631945,0.621527667
38603,11.451894,0.038361333,1.870346333,0.287952667
38604,14.83611133,0.024541667,1.563888833,0.304166667
38605,16.15555567,0.025486,1.78125,0.313889
38606,14.052778,0.030028,1.741666667,0.283333333
38607,23.03293633,0.022888667,1.6430555,0.432639
38608,23.138889,0.025958333,1.754861167,0.422916833
38609,24.2375,0.023027667,1.811805667,0.474305667
38610,32.19154033,0.022014,1.8185605,0.6549215
38611,29.21666633,0.018680667,2.5069445,0.690909
38612,29.26527767,0.023930333,2.334027833,0.836805667
38613,28.3375,0.024708,2.015972167,0.7645835
38614,33.57537867,0.016541667,1.888888833,0.8520835
38615,25.59444467,0.022778,1.917361167,0.647916833
38616,22.76149,0.020028,1.7161435,0.4890095
38617,23.47702,0.01725,1.742926167,0.545561667
38618,31.076389,0.022277667,1.920184,0.752778
38619,24.31944433,0.025624667,2.002777833,0.6222225
38620,25.39027767,0.021361,1.873611167,0.744444333
38621,31.51461367,0.017250333,2.0674515,0.804015667
38622,26.50694467,0.014625333,2.342857,0.593055667
38623,25.12752533,0.020819333,1.735416667,0.612499833
38624,34.4125,0.019319333,2.303472333,0.8381945
38625,34.91805567,0.021847333,2.3113815,1.029049
38626,29.59027767,0.026319333,2.086111167,0.825694333
38627,17.695833,0.020389,2.046527833,0.5618055
38628,18.253283,0.019125,1.900378833,0.6269445
38629,13.491667,0.020542,2.125,0.5020835
38630,21.431692,0.018653,1.720764167,0.397883667
38631,31.47222233,0.016014,1.861120333,0.638447
38632,26.38194433,0.018805667,2.434722167,0.8458335
38633,18.66666667,0.026249667,2.204166833,0.653472
38634,10.06527767,0.036736,2.285416667,0.315972167
38635,27.57916667,0.017916667,2.1125,0.556250167
38636,32.201389,0.016333333,2.480555667,0.763194333
38637,36.81351033,0.019680333,2.297979833,1.012137667
38638,40.26388867,0.021805333,2.8430555,1.066666667
38639,17.68214267,0.027333667,2.075000167,0.542613667
38640,23.076389,0.022889,2.046527833,0.554861167
38641,23.64722233,0.019819333,2.353472167,0.626388833
38642,29.84021733,0.011708667,2.292550333,0.876237667
38643,19.23472233,0.011541333,2.048611167,0.565972167
38644,26.884259,0.014018667,2.124999833,0.834444667
38645,30.756313,0.011986,2.493623833,0.9248105
38646,36.82222233,0.010458,2.9194445,1.234027833
38647,29.958333,0.016361,2.803472167,1.111805833
38648,25.586111,0.020777667,2.4305555,0.8354165
38649,27.198611,0.017958333,2.292361167,0.784027667
38650,23.348611,0.015180333,2.243749833,0.620833167
38651,27.02979767,0.011292,2.394487667,0.928593
38652,29.85000033,0.013597333,2.452777833,0.916666833
38653,30.27063467,0.011583667,2.495833167,0.884785333
38654,25.29583333,0.013944667,2.759027833,0.988194667
38655,24.39444433,0.018472333,2.3625,0.940972333
38656,34.093308,0.011861,3.380988667,1.101238
38657,34.5151515,0.0145835,4.79375,1.49374975
38658,37.2708335,0.0093335,3.9956975,1.20339675
38659,37.1875,0.004021,3.990476,1.3177085
38660,32.875,0.0093125,3.94791675,1.3625
38661,32.2708335,0.013958,3.57291675,1.16979175
38662,31.8541665,0.0137295,3.51041675,1.2135415
38663,35.7708335,0.008521,4.27395825,1.3666665
38664,34.3208335,0.0082085,4.29375,1.40871225
38665,34.9772725,0.0059375,3.71628775,1.20475575
38666,36.4791665,0.0019375,4.671875,1.375906
38667,23.0625,0.0140415,3.06354175,0.965625
38668,29.4166665,0.0119165,2.9875,1.15833325
38669,30.0416665,0.013229,2.96770825,1.2791665
38670,36.8598485,0.009667,3.50143625,1.334058
38671,26.1723485,0.01575,2.57604175,0.996875
38672,28.068182,0.013125,3.99507625,1.0293025
38673,39.708333,0.010479,5.72244325,1.67309775
38674,23.1458335,0.019604,3.31979175,0.8166665
38675,39.9166665,0.0108955,4.0270835,1.41354175
38676,20.2708335,0.022375,3.01041675,0.776042
38677,41.708333,0.0083125,5.4416665,1.7052085
38678,46.25,0.004958,6.3427085,2.3041665
38679,42.8402775,0.002042,6.02720625,2.096212
38680,33.875,0.008292,3.9020835,1.1833335
38681,33.0089285,0.0107085,3.26041675,1.1447915
38682,15.979167,0.0295,2.40520825,0.44375
38683,9.145833,0.026104,1.66145825,0.2770835
38684,32.4545455,0.008896,3.2441575,0.9022645
38685,33.9375,0.006896,4.175,1.165625
38686,42.5473485,0.0049165,5.1012875,1.675453
38687,39.875,0.0065835,4.65823875,1.68229175
38688,39,0.0037915,3.75729175,1.4291665
38689,27.375,0.012729,2.4510415,1.04791675
38690,26.2291665,0.013146,2.484375,0.9229165
38691,40.659091,0.006625,4.9106885,1.6264205
38692,38.041667,0.0043335,4.81979175,1.75833325
38693,35.7309785,0.0050415,4.1528985,1.589538
38694,36.895833,0.0086945,4.74791675,1.81041675
38695,39.4166665,0.0072295,6.5270835,2.08901525
38696,43.4375,0.004396,5.2375,2.3614585
38697,38.4583335,0.0035835,4.77708325,2.2729165
38698,40.0738635,0.001625,5.948052,2.08011775
38699,44.45471,0.0033335,5.38792075,2.42640425
38700,44.615909,0.0042705,3.8648945,1.87531725
38701,38.5054825,0.0035,2.76912525,1.43451075
38702,34.6282895,0.0048335,2.277205,1.38854175
38703,34.2291665,0.006896,1.83958325,1.45416675
38704,34.645833,0.007521,2.0895835,1.64374975
38705,49.003788,0.002896,3.85773825,2.2166665
38706,42.7916665,0.0029165,2.64895825,1.7064395
38707,61.149621,0.0015835,5.01619325,2.64492725
38708,42.298913,0.004451,4.01260825,1.96607775
38709,39.916667,0.003833,3.3166665,1.77812525
38710,38.354167,0.007708,2.7708335,1.958333
38711,29.7916665,0.0095835,2.41875,1.47916675
38712,26.125,0.010854,1.3,0.85208325
38713,32.1875,0.0084165,1.109375,0.80104175
38714,37.9,0.006854,1.23625525,1.01799225
38715,38.0833335,0.005625,1.4479165,1.073958
38716,37.4166665,0.006271,3.06244825,1.384375
38717,35.333333,0.008105,2.41875,1.08437475
38718,31.270833,0.011854,2.32604175,1.18492325
38719,25.875,0.01375,2.22083325,0.73125
38720,29.2083335,0.0108125,1.8885415,0.703125
38721,40.45614,0.004771,3.3987825,1.33596025
38722,36.5208335,0.01275,3.84270825,1.5895835
38723,24.6458335,0.0181875,2.53333325,0.77168575
38724,32.958333,0.0095415,3.14895825,1.13125
38725,36.9791665,0.0082295,3.53333325,1.496875
38726,36.6512685,0.010479,4.3232955,1.64221025
38727,41.4911065,0.008604,5.983631,1.863406
38728,41.333333,0.0060625,4.29166025,1.5760415
38729,39.375,0.006604,3.71336575,1.2979165
38730,43.375,0.006479,4.671875,1.6645835
38731,44.2083335,0.0084375,4.77395825,1.73333325
38732,18.3125,0.0256665,1.8229165,0.703125
38733,19.5,0.0161665,1.371875,0.39895825
38734,36.8125,0.006021,3.40208325,1.15151525
38735,35.8208335,0.005896,4.303409,1.0730525
38736,26.833333,0.014729,2.00729175,0.65208325
38737,39,0.007771,3.484375,1.140625
38738,38.0416665,0.0102085,3.75729175,1.5635415
38739,35.395833,0.00975,3.27395825,1.2770835
38740,34.068182,0.019007,3.8842805,1.30701975
38741,17.604167,0.0258335,1.75,0.3666665
38742,30.4924245,0.0164375,2.24894475,0.70389475
38743,38.3541665,0.0105625,2.55998375,0.9604165
38744,33.3958335,0.014021,2.40833325,0.9166665
38745,31.125,0.0141665,2.3458335,0.9979165
38746,31.2291665,0.01475,2.1520835,0.97291675
38747,39.125,0.011021,2.99375,1.229167
38748,36.702381,0.0120415,2.6719695,1.13170275
38749,35.666667,0.0099165,2.240625,0.91979175
38750,35.854167,0.0115,2.5072915,1.05104175
38751,41.6041665,0.0094375,3.65833325,1.3652625
38752,36.4375,0.012,2.984375,1.36249975
38753,34.1875,0.009875,2.5239585,1.209375
38754,28.5208335,0.0205625,3.175,1.067708
38755,28.2954545,0.0151665,2.62632575,0.9344655
38756,30.4404765,0.013604,2.99999975,1.058532
38757,40.365036,0.0073125,4.22353175,1.28011775
38758,33.125,0.011225,2.50902775,0.76715275
38759,31.083333,0.018771,3.3760415,1.1125
38760,28.9375,0.0186665,3.240625,1.02395825
38761,41.875,0.012875,5.14895825,1.6041665
38762,39.419643,0.0115625,4.36966875,1.15778975
38763,21.8541665,0.027667,2.31979175,0.5189765
38764,28.1322465,0.021104,1.9957235,0.47462125
38765,44.5416665,0.008167,3.3,1.009375
38766,28.4375,0.022125,3.53020825,1.13333325
38767,28.0625,0.0176875,2.22083325,0.75520825
38768,30.9583335,0.0151455,2.609375,0.90833325
38769,36.3257575,0.0134585,2.489015,0.840909
38770,38.166667,0.0129585,2.740625,0.923769
38771,41.375,0.0103335,3.18694525,1.1645835
38772,39,0.013979,2.7739585,1.04270825
38773,36.1041665,0.0174585,2.59583325,1.0822915
38774,34.625,0.0174375,2.51041675,1.16874975
38775,41.6875,0.013667,2.35625,0.97812475
38776,28.7857145,0.0108785,1.381399,0.668182
38777,24.1875,0.012146,1.22083325,0.4833335
38778,34.5,0.0150625,2.32291675,0.9114585
38779,30.1041665,0.018542,1.5989585,0.73049225
38780,31.75,0.015521,1.57291675,0.73333325
38781,28.0416665,0.017521,1.77708325,0.8395835
38782,32.691123,0.01475,1.9537525,0.79261775
38783,25.136364,0.0253125,1.70871225,0.6749095
38784,15.958333,0.027,1.059375,0.3385415
38785,16.208333,0.032854,1.2270835,0.378125
38786,11.625,0.0375835,1.0639475,0.33333325
38787,11.8958335,0.02975,1,0.3729165
38788,11.8125,0.031375,0.934375,0.396875
38789,22.5,0.02475,0.86875,0.5791665
38790,34.4910715,0.018875,1.39504875,0.79175725
38791,32.2291665,0.023729,1.3885415,0.78437525
38792,36.1875,0.016479,2.01354175,1.04791675
38793,29.333333,0.021854,1.496875,0.7898675
38794,15.958333,0.031458,0.89166675,0.48958325
38795,18.625,0.027104,0.809375,0.45416675
38796,18.028656,0.0254375,0.90652175,0.39772725
38797,19.9583335,0.024146,1.01136375,0.460145
38798,32.125,0.0183545,1.18125,0.66770825
38799,30.7083335,0.022146,1.91145825,0.94062525
38800,30.583333,0.025375,1.52607375,0.8708335
38801,21.895833,0.035729,1.49375,0.7791665
38802,18.0625,0.028042,1.059375,0.45520825
38803,24.25,0.023771,1.121875,0.60416675
38804,19.0083335,0.017868,1.98035725,0.5110795
38805,10.9166665,0.030104,2.18125,0.359375
38806,24.0625,0.0214165,2.648485,0.48260875
38807,24.5916665,0.021446,2.91458325,0.598931
38808,15.2125,0.029514,2.440972167,0.379166667
38809,26.75138867,0.026763667,2.480555667,0.650694333
38810,33.024495,0.025944333,2.757237833,0.7954365
38811,26.33968233,0.022791667,2.571212167,0.508531833
38812,8.527777667,0.039236,2.2458335,0.304166667
38813,20.68749967,0.027333667,2.357638833,0.436805333
38814,34.948611,0.023402667,2.611652167,0.774305333
38815,33.05694467,0.029,2.829166833,0.90625
38816,25.227778,0.037264,2.759027833,0.7944445
38817,16.936111,0.030514,2.734722167,0.402778
38818,26.302778,0.024430333,2.460606,0.512310833
38819,30.06507933,0.023527667,2.298611167,0.615972333
38820,32.665278,0.020958667,2.925694333,0.8506945
38821,16.515278,0.026236333,2.4694445,0.422348333
38822,14.74722233,0.028958333,1.497916667,0.399305667
38823,15.88750033,0.034013667,1.5680555,0.547222167
38824,18.064899,0.032194333,2.0902315,0.4155795
38825,26.47916667,0.033708333,1.8038905,0.439402333
38826,26.19861133,0.031541667,1.938888833,0.513888667
38827,28.79015167,0.024333333,2.107638833,0.56875
38828,32.302778,0.022569333,2.506944333,0.772222333
38829,17.534722,0.030097,1.765972167,0.45625
38830,12.28333333,0.034430667,1.309722167,0.345139167
38831,24.90357133,0.027166333,1.5993055,0.511111167
38832,30.86339867,0.028875,1.938794,0.683061667
38833,17.49583333,0.039889,1.224305667,0.437500167
38834,12.420833,0.037083,1.1166665,0.354861167
38835,18.11944467,0.03075,1.079861167,0.401962333
38836,21.14027767,0.033138667,1.0444445,0.519444667
38837,20.48333367,0.032750333,1.171527833,0.601389
38838,22.62762967,0.025542,1.215907667,0.522826333
38839,20.539881,0.022374667,1.061223333,0.412184167
38840,18.276389,0.023611,0.851388833,0.375
38841,15.45833367,0.033152667,0.737499833,0.327083167
38842,15.973611,0.036583667,1.171861333,0.345138667
38843,22.101389,0.040875,1.095075833,0.450694333
38844,12.613889,0.044139,1.302777667,0.310416833
38845,17.434596,0.038361,1.302777667,0.2791665
38846,21.69583333,0.032888667,1.401716667,0.362530167
38847,27.604167,0.032361,1.5886905,0.465972333
38848,32.03055533,0.027777667,1.281249833,0.636111167
38849,29.697953,0.030222333,1.3165405,0.690338167
38850,16.715278,0.031624667,0.991666667,0.314583167
38851,19.23055567,0.031374667,1.0881945,0.377083167
38852,34.72588367,0.018874667,1.613328167,0.583786167
38853,20.144643,0.037514,0.916414,0.556177167
38854,15.261111,0.041444333,0.4743055,0.353472167
38855,17.59166667,0.033152667,1.004762,0.315972167
38856,19.05853167,0.023458,1.440972167,0.370833333
38857,16.47777767,0.026986333,1.3993055,0.357638833
38858,12.24305567,0.030819333,1.359722167,0.304861333
38859,11.68257567,0.025403,1.395139,0.241666667
38860,18.51170633,0.034541333,1.370479667,0.379891333
38861,26.65833333,0.027180667,1.645138833,0.445139
38862,21.57626267,0.034749667,1.6752885,0.419202667
38863,15.48055567,0.034778,1.690972167,0.250694167
38864,10.03055567,0.042958667,1.634027667,0.2
38865,6.243055333,0.049055667,1.511111167,0.163194167
38866,18.497222,0.033764,1.732638833,0.348611
38867,27.00456367,0.027555667,1.9480145,0.6115035
38868,29.56174233,0.027111333,2.296527667,0.700000167
38869,31.43194467,0.028958333,2.320833167,0.747222
38870,20.86691933,0.041194667,2.114583333,0.599305667
38871,19.00555567,0.041000333,2.156250167,0.435416667
38872,12.64027767,0.046833333,1.770139,0.381249833
38873,12.14047,0.039875333,1.999473833,0.277355
38874,13.745833,0.037111333,1.7131945,0.348611167
38875,14.5125,0.046667,1.7743055,0.304166667
38876,15.53611133,0.034514,1.802777833,0.323611167
38877,16.10694467,0.030847333,1.879861167,0.3021465
38878,15.43472233,0.031583333,1.772222167,0.267361333
38879,15.32361133,0.038013667,1.9631945,0.299305667
38880,22.94287433,0.023167,2.517908833,0.420923667
38881,22.96666667,0.027000333,2.343365167,0.554831167
38882,21.29305567,0.031042,1.423611167,0.388194333
38883,21.927778,0.042277667,1.8881945,0.467361
38884,21.60404033,0.035069667,1.4805555,0.41875
38885,23.298611,0.034222333,1.353472333,0.507638833
38886,23.30555533,0.039805333,1.3881945,0.588889
38887,20.52420667,0.035222333,1.372916667,0.478472333
38888,18.69305567,0.033528,1.6475155,0.430887667
38889,20.96742433,0.031486,1.940972167,0.5082125
38890,15.16775367,0.029069333,1.745859333,0.383080833
38891,14.89305567,0.028694333,1.747916667,0.40625
38892,13.586111,0.037903,1.563888833,0.375000167
38893,13.39722233,0.042819667,1.3819445,0.427777667
38894,11.67210133,0.050805667,1.1140035,0.375241667
38895,11.33373033,0.045847333,1.0540975,0.346678833
38896,12.130357,0.054708667,0.959027667,0.3541665
38897,11.0375,0.050888667,1.250063167,0.368055667
38898,14.61666633,0.050208667,1.334027833,0.407638667
38899,13.29166667,0.055444333,1.217361167,0.440277667
38900,8.433333333,0.048944333,0.895139,0.338889
38901,9.551639333,0.043861333,1.170945333,0.330766833
38902,5.952777667,0.040972,1.197916833,0.280555333
38903,13.175,0.035653,1.136111,0.4041665
38904,18.34166633,0.043805667,1.366666667,0.499305667
38905,10.24166667,0.040305667,0.943750167,0.333303167
38906,9.993055667,0.04675,0.910416667,0.379861
38907,12.74583333,0.042583,0.9541665,0.4055555
38908,14.363159,0.032389,1.041107667,0.395591833
38909,15.85833333,0.026374667,1.303994167,0.403925167
38910,12.90833333,0.028708667,1.465277833,0.360416667
38911,10.251389,0.031805333,1.482638833,0.3305555
38912,15.86805567,0.033583667,1.847140333,0.410416833
38913,9.684722333,0.044124667,1.660416833,0.379861
38914,9.090277667,0.043125,1.491666667,0.368055667
38915,8.861111,0.052999667,1.509027667,0.374305667
38916,9.203968333,0.052444333,1.517469,0.3277175
38917,8.144444333,0.056319333,1.0506945,0.284722333
38918,8.977777667,0.045125333,1.4694445,0.290277833
38919,16.904167,0.045958,2.1645835,0.472464
38920,9.9208335,0.050625,2,0.377083
38921,6.9541665,0.051208,2,0.3625
38922,11.7695075,0.047917,2.0395835,0.4104165
38923,11.8479165,0.030958,1.9479165,0.4354165
38924,9.175000333,0.033652667,1.666666667,0.392361333
38925,8.783333333,0.028194333,1.474242333,0.361111
38926,9.812499667,0.027680667,1.4743055,0.3729165
38927,5.451389,0.025194667,1.355555667,0.3354165
38928,4.709722,0.02775,1.447916833,0.3520835
38929,7.781439333,0.023694333,1.4685605,0.356060667
38930,7.059722,0.022986,1.830995667,0.3088465
38931,12.484722,0.022277667,1.978472333,0.348611167
38932,10.24823267,0.027014,2.215277833,0.366274333
38933,13.17361133,0.028708667,2.215277833,0.3458335
38934,11.961111,0.020569667,2.338194333,0.333333333
38935,15.013889,0.027111,2.798611167,0.472222167
38936,11.78436,0.041000333,2.6355675,0.361986667
38937,9.831565667,0.04125,2.184748333,0.318448167
38938,9.687499667,0.041708667,2.1319445,0.31875
38939,12.751389,0.044083,2.206418333,0.357639
38940,10.677778,0.042111,2.408333333,0.31875
38941,9.419444333,0.038124667,2.147222167,0.366666833
38942,8.388889,0.037694333,2.188889,0.309722167
38943,9.543055667,0.039402667,2.586111167,0.284722167
38944,13.213492,0.034778,1.905883333,0.336926333
38945,9.388889,0.02775,1.2375,0.2819445
38946,14.4,0.020722,1.618750167,0.319444333
38947,21.61287867,0.024527667,1.783333167,0.536835667
38948,21.14305567,0.034486,2.048611167,0.599305667
38949,8.866666667,0.039402667,1.895139,0.288888833
38950,9.148902,0.039917,1.664899,0.323671833
38951,14.89444433,0.030180667,1.9491115,0.439078167
38952,14.173611,0.043263667,2.1694445,0.3881945
38953,14.35833367,0.032708333,1.842361167,0.365972167
38954,12.270833,0.031499667,1.796273333,0.375000333
38955,12.061111,0.025791667,1.888888833,0.360416667
38956,19.563889,0.029222333,1.688888833,0.547916833
38957,28.11666667,0.026847,1.5006945,0.643750167
38958,28.99166667,0.029097333,1.45873,0.6131945
38959,17.914866,0.033361,1.335732333,0.488436
38960,13.79305567,0.034680667,1.513889,0.345139
38961,25.911111,0.029958333,1.6194445,0.632638833
38962,7.676388667,0.035819333,1.408333333,0.334027667
38963,5.316666667,0.032472333,1.438889,0.2930555
38964,4.760417,0.02925,1.5333335,0.275
38965,8.497765667,0.027014,1.907371833,0.315187333
38966,11.63611133,0.035055667,2.48125,0.3881945
38967,8.222222333,0.034069667,2.3550165,0.332638667
38968,13.18224667,0.0295,2.379861167,0.374999833
38969,18.266667,0.022917,2.3930555,0.5506945
38970,16.33194467,0.026194333,2.427777833,0.5368055
38971,20.52896833,0.029805667,2.620833333,0.4833335
38972,12.22083333,0.029361,2.308497167,0.3017515
38973,11.5,0.031292,2.390972333,0.304166333
38974,9.754166667,0.032291333,2.741666833,0.288888667
38975,9.666667,0.024111,2.592361167,0.272916833
38976,16.04166667,0.021778,2.535416833,0.340278
38977,22.7875,0.026986,2.870833333,0.51875
38978,28.559239,0.022736333,2.829158,0.659631833
38979,27.28472233,0.027222333,3.0603175,0.665791
38980,15.27341267,0.021958667,2.502777667,0.345833333
38981,22.663587,0.019597333,3.092361167,0.401388833
38982,18.425126,0.025972,3.010768333,0.4229165
38983,20.375,0.027111333,2.364583167,0.467361
