Date,Open,High,Low,Close
07-Nov-94,"3,807.50","3,819.30","3,798.10","3,808.87"
04-Nov-94,"3,845.90","3,865.05","3,807.52","3,807.52"
03-Nov-94,"3,837.10","3,853.62","3,833.43","3,845.88"
02-Nov-94,"3,863.40","3,875.15","3,837.13","3,837.13"
01-Nov-94,"3,907.78","3,907.78","3,858.33","3,863.37"
31-Oct-94,"3,930.70","3,937.05","3,907.78","3,908.12"
28-Oct-94,"3,875.10","3,931.67","3,873.47","3,930.66"
27-Oct-94,"3,848.91","3,875.15","3,848.91","3,875.15"
26-Oct-94,"3,850.60","3,870.10","3,837.47","3,848.23"
25-Oct-94,"3,855.30","3,863.04","3,832.42","3,850.59"
24-Oct-94,"3,891.30","3,911.48","3,853.62","3,855.30"
21-Oct-94,"3,911.10","3,911.15","3,883.90","3,891.30"
20-Oct-94,"3,936.00","3,942.10","3,894.66","3,911.15"
19-Oct-94,"3,917.50","3,949.84","3,901.05","3,936.04"
18-Oct-94,"3,923.90","3,927.97","3,903.75","3,917.54"
17-Oct-94,"3,910.50","3,934.03","3,901.05","3,923.93"
14-Oct-94,"3,889.90","3,912.16","3,878.51","3,910.47"
13-Oct-94,"3,876.83","3,927.63","3,876.83","3,889.95"
12-Oct-94,"3,876.80","3,887.26","3,862.03","3,875.15"
11-Oct-94,"3,821.32","3,882.55","3,821.32","3,876.83"
10-Oct-94,"3,798.10","3,825.35","3,798.10","3,821.32"
07-Oct-94,"3,775.60","3,802.81","3,769.17","3,797.43"
06-Oct-94,"3,787.30","3,795.07","3,768.16","3,775.56"
05-Oct-94,"3,801.10","3,802.14","3,747.97","3,787.34"
04-Oct-94,"3,846.90","3,858.33","3,794.07","3,801.13"
03-Oct-94,"3,843.20","3,852.27","3,826.36","3,846.89"
30-Sep-94,"3,854.60","3,875.82","3,838.81","3,843.19"
29-Sep-94,"3,878.18","3,878.18","3,847.90","3,854.63"
28-Sep-94,"3,863.04","3,890.96","3,863.04","3,878.18"
27-Sep-94,"3,849.20","3,871.78","3,844.87","3,863.04"
26-Sep-94,"3,831.80","3,849.91","3,826.36","3,849.24"
23-Sep-94,"3,837.10","3,851.26","3,820.31","3,831.75"
22-Sep-94,"3,851.60","3,864.72","3,832.76","3,837.13"
21-Sep-94,"3,869.10","3,876.16","3,821.65","3,851.60"
20-Sep-94,"3,936.38","3,936.38","3,869.09","3,869.09"
19-Sep-94,"3,933.40","3,953.20","3,928.31","3,936.72"
16-Sep-94,"3,953.50","3,953.54","3,912.83","3,933.35"
15-Sep-94,"3,895.30","3,953.88","3,894.33","3,953.88"
14-Sep-94,"3,879.90","3,900.72","3,869.09","3,895.33"
13-Sep-94,"3,861.02","3,992.64","3,861.02","3,879.86"
12-Sep-94,"3,874.80","3,880.53","3,859.00","3,860.34"
09-Sep-94,"3,907.78","3,907.78","3,858.33","3,874.81"
08-Sep-94,"3,886.30","3,911.15","3,882.89","3,908.46"
07-Sep-94,"3,898.70","3,903.41","3,881.54","3,886.25"
06-Sep-94,"3,885.60","3,898.70","3,877.17","3,898.70"
02-Sep-94,"3,901.40","3,919.89","3,880.40","3,885.58"
01-Sep-94,"3,913.10","3,913.10","3,887.52","3,901.44"
31-Aug-94,"3,917.30","3,939.32","3,906.95","3,913.42"
30-Aug-94,"3,898.90","3,920.87","3,888.49","3,917.30"
01-Jan-00,"3,881.40","3,911.15","3,881.37","3,898.85"
